FVC file = csiem_100_A_20130101_20130601_WQ_009.fvc, Simulation Execution: 04/05/2023 10:24:39
Cell Coordinates and properties applied to model,X,Y,ZB,MATID,Area,ID
, 0.11582437011166E+03,-0.31988000812252E+02, -0.6906773E+00,          16,  0.1420855E+05,         224
, 0.11582424890362E+03,-0.31989340832766E+02, -0.6115198E+00,          16,  0.3375556E+05,         225
, 0.11582575044379E+03,-0.31989170512181E+02, -0.7313923E+00,          16,  0.1492512E+05,         226
, 0.11582334744277E+03,-0.31987561246119E+02, -0.5316781E+00,          16,  0.1849154E+05,         227
, 0.11584935991930E+03,-0.31989520114024E+02, -0.1804070E+01,          16,  0.3265406E+05,         228
, 0.11585116313677E+03,-0.31989488948345E+02, -0.5844680E+00,          16,  0.3189245E+05,         229
, 0.11584489573986E+03,-0.31991582245960E+02, -0.5936868E+01,          16,  0.3360126E+05,         230
, 0.11584615244332E+03,-0.31990939511951E+02, -0.5625996E+01,          16,  0.1427609E+05,         231
, 0.11584390510906E+03,-0.31992477411290E+02, -0.6041068E+01,          16,  0.1616448E+05,         232
, 0.11584690692286E+03,-0.31992175539755E+02, -0.5895109E+01,          16,  0.3626687E+05,         233
, 0.11584840146029E+03,-0.31991349190785E+02, -0.4289752E+01,          16,  0.3259108E+05,         234
, 0.11585013568581E+03,-0.31991156178528E+02, -0.2335126E+01,          16,  0.2880955E+05,         235
, 0.11585273934635E+03,-0.31989002590819E+02, -0.8199850E-01,          16,  0.3247521E+05,         236
, 0.11583773844286E+03,-0.31991965211626E+02, -0.4532479E+01,          16,  0.1375002E+05,         237
, 0.11583893509713E+03,-0.31992679359461E+02, -0.3905586E+01,          16,  0.3007317E+05,         238
, 0.11584058563229E+03,-0.31993013395511E+02, -0.4721464E+01,          16,  0.3233465E+05,         239
, 0.11584209110805E+03,-0.31992969879062E+02, -0.5725684E+01,          16,  0.1577585E+05,         240
, 0.11584208793358E+03,-0.31994317536212E+02, -0.6495436E+01,          16,  0.3038339E+05,         241
, 0.11584383359261E+03,-0.31994134361086E+02, -0.6647567E+01,          16,  0.3378296E+05,         242
, 0.11583643256355E+03,-0.31992548394129E+02, -0.5967393E+01,          16,  0.3489636E+05,         243
, 0.11583484609983E+03,-0.31993316999103E+02, -0.6508012E+01,          16,  0.3309352E+05,         244
, 0.11582973920917E+03,-0.31991893804736E+02, -0.3202365E+01,          16,  0.3414808E+05,         245
, 0.11583071491092E+03,-0.31993237599892E+02, -0.3853474E+01,          16,  0.3176559E+05,         246
, 0.11582893511121E+03,-0.31990832512081E+02, -0.2060942E+01,          16,  0.1689521E+05,         247
, 0.11583160611005E+03,-0.31994263778634E+02, -0.4237108E+01,          16,  0.1612781E+05,         248
, 0.11583306908313E+03,-0.31994032932722E+02, -0.5304627E+01,          16,  0.3285670E+05,         249
, 0.11582589346895E+03,-0.31990522542112E+02, -0.8149326E+00,          16,  0.3251184E+05,         250
, 0.11582727344434E+03,-0.31990132311730E+02, -0.8722743E+00,          16,  0.1426571E+05,         251
, 0.11582755818641E+03,-0.31991511206663E+02, -0.1552932E+01,          16,  0.3440581E+05,         252
, 0.11582182558137E+03,-0.31987942471624E+02, -0.6476292E+00,          16,  0.3976485E+05,         253
, 0.11582232837660E+03,-0.31989737623110E+02, -0.1175503E+01,          16,  0.3633450E+05,         254
, 0.11582404285279E+03,-0.31991100065755E+02, -0.1190890E+01,          16,  0.3435242E+05,         255
, 0.11582219433416E+03,-0.31991647923808E+02, -0.3225244E+01,          16,  0.3600629E+05,         256
, 0.11585183151542E+03,-0.31991227654893E+02, -0.7964781E+00,          16,  0.3197140E+05,         257
, 0.11585341362542E+03,-0.31990724210163E+02, -0.1244955E+00,          16,  0.3220133E+05,         258
, 0.11584570477520E+03,-0.31992876911625E+02, -0.6427149E+01,          16,  0.1379135E+05,         259
, 0.11584557516095E+03,-0.31994295130608E+02, -0.6408118E+01,          16,  0.3499752E+05,         260
, 0.11584757944302E+03,-0.31993535345707E+02, -0.5936841E+01,          16,  0.1869599E+05,         261
, 0.11584895016215E+03,-0.31993099403631E+02, -0.4844754E+01,          16,  0.3368083E+05,         262
, 0.11584710677642E+03,-0.31994545479187E+02, -0.5978949E+01,          16,  0.1655199E+05,         263
, 0.11585067677342E+03,-0.31992927265307E+02, -0.3105270E+01,          16,  0.3163699E+05,         264
, 0.11585235085710E+03,-0.31993015338827E+02, -0.1505529E+01,          16,  0.3222805E+05,         265
